FIPS_code,Locality
51001,AccomackCounty
51003,AlbemarleCounty
51510,Alexandriacity
51005,AlleghanyCounty
51007,AmeliaCounty
51009,AmherstCounty
51011,AppomattoxCounty
51013,ArlingtonCounty
51015,AugustaCounty
51017,BathCounty
51515,Bedfordcity
51019,BedfordCounty
51021,BlandCounty
51023,BotetourtCounty
51520,Bristolcity
51520,Bristolcity
51025,BrunswickCounty
51027,BuchananCounty
51029,BuckinghamCounty
51530,BuenaVistacity
51031,CampbellCounty
51033,CarolineCounty
51035,CarrollCounty
51036,CharlesCityCounty
51037,CharlotteCounty
51540,Charlottesvillecity
51550,Chesapeakecity
51041,ChesterfieldCounty
51043,ClarkeCounty
51560,CliftonForgecity
51570,ColonialHeightscity
51580,Covingtoncity
51045,CraigCounty
51047,CulpeperCounty
51049,CumberlandCounty
51590,Danvillecity
51051,DickensonCounty
51053,DinwiddieCounty
51595,Emporiacity
51057,EssexCounty
51600,Fairfaxcity
51059,FairfaxCounty
51610,FallsChurchcity
51061,FauquierCounty
51063,FloydCounty
51065,FluvannaCounty
51620,Franklincity
51067,FranklinCounty
51069,FrederickCounty
51630,Fredericksburgcity
51640,Galaxcity
51071,GilesCounty
51073,GloucesterCounty
51075,GoochlandCounty
51077,GraysonCounty
51079,GreeneCounty
51081,GreensvilleCounty
51083,HalifaxCounty
51650,Hamptoncity
51085,HanoverCounty
51660,Harrisonburgcity
51087,HenricoCounty
51089,HenryCounty
51091,HighlandCounty
51670,Hopewellcity
51093,IsleofWightCounty
51095,JamesCityCounty
51097,KingandQueenCounty
51099,KingGeorgeCounty
51101,KingWilliamCounty
51103,LancasterCounty
51105,LeeCounty
51678,Lexingtoncity
51107,LoudounCounty
51109,LouisaCounty
51111,LunenburgCounty
51680,Lynchburgcity
51113,MadisonCounty
51683,Manassascity
51685,ManassasParkcity
51690,Martinsvillecity
51115,MathewsCounty
51117,MecklenburgCounty
51119,MiddlesexCounty
51121,MontgomeryCounty
51125,NelsonCounty
51127,NewKentCounty
51700,NewportNewscity
51710,Norfolkcity
51131,NorthamptonCounty
51133,NorthumberlandCounty
51720,Nortoncity
51135,NottowayCounty
51137,OrangeCounty
51139,PageCounty
51141,PatrickCounty
51730,Petersburgcity
51143,PittsylvaniaCounty
51735,Poquosoncity
51740,Portsmouthcity
51145,PowhatanCounty
51147,PrinceEdwardCounty
51149,PrinceGeorgeCounty
51153,PrinceWilliamCounty
51155,PulaskiCounty
51750,Radfordcity
51157,RappahannockCounty
51760,Richmondcity
51159,RichmondCounty
51770,Roanokecity
51161,RoanokeCounty
51163,RockbridgeCounty
51165,RockinghamCounty
51167,RussellCounty
51775,Salemcity
51169,ScottCounty
51171,ShenandoahCounty
51173,SmythCounty
51175,SouthamptonCounty
51177,SpotsylvaniaCounty
51179,StaffordCounty
51790,Stauntoncity
51800,Suffolkcity
51181,SurryCounty
51183,SussexCounty
51185,TazewellCounty
51810,VirginiaBeachcity
51187,WarrenCounty
51191,WashingtonCounty
51820,Waynesborocity
51193,WestmorelandCounty
51830,Williamsburgcity
51840,Winchestercity
51195,WiseCounty
51197,WytheCounty
51199,YorkCounty
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
