Locality,Total,Male,MUnder5,M5to9,M10to14,M15to19,M20to24,M25to29,M30to34,M35to39,M40to44,M45to49,M50to54,M55to59,M60to64,M65to69,M70to74,M75to79,M80to84,M85andover,MUnder18,M18to64,M18andover,M65andover,Female,FUnder5,F5to9,F10to14,F15to19,F20to24,F25to29,F30to34,F35to39,F40to44,F45to49,F50to54,F55to59,F60to64,F65to69,F70to74,F75to79,F80to84,F85andover,FUnder18,F18to64,F18andover,F65andover
Virginia,8517685,4190648,261793,263477,269658,275429,300165,307824,295342,288300,261041,275013,277039,283026,249559,202442,159495,105163,62744,53138,955454,2652212,3235194,582982,4327037,249131,250980,258704,266855,278647,296362,290778,290334,265208,283068,290264,300016,274271,230360,186741,130030,86534,98754,914338,2680280,3412699,732419
AccomackCounty,32412,15817,950,963,976,890,761,900,897,871,753,885,995,1173,1329,1146,944,647,378,359,3457,8886,12360,3474,16595,860,923,881,819,650,967,853,860,838,906,1106,1276,1492,1275,1086,778,498,527,3199,9232,13396,4164
AlbemarleCounty,108718,51970,2908,3049,3084,4457,3662,3342,3530,3257,2982,3109,3136,3304,3237,2985,2319,1565,1012,1032,10932,32125,41038,8913,56748,2804,2885,2994,4930,3776,3677,3520,3339,3059,3219,3400,3853,3957,3514,2636,1983,1368,1834,10596,34817,46152,11335
AlleghanyCounty,14910,7291,314,390,453,443,413,396,322,358,362,493,554,551,564,533,470,359,180,136,1446,4167,5845,1678,7619,320,367,373,411,377,400,342,373,364,522,545,593,628,508,550,393,255,298,1324,4291,6295,2004
AmeliaCounty,13013,6416,347,374,394,397,353,367,360,360,320,407,471,572,526,378,357,232,115,86,1380,3868,5036,1168,6597,300,366,394,355,315,387,368,342,361,409,482,583,527,420,334,276,175,203,1284,3905,5313,1408
AmherstCounty,31666,15368,859,919,888,948,920,924,839,819,799,1051,1124,1206,1097,976,823,588,330,258,3206,9187,12162,2975,16298,782,813,910,879,917,927,894,845,853,1059,1181,1324,1188,1117,873,743,453,540,3001,9571,13297,3726
AppomattoxCounty,15841,7692,468,478,476,458,418,489,452,462,421,502,472,552,540,467,435,305,180,117,1698,4490,5994,1504,8149,456,456,451,454,412,480,488,486,419,505,540,618,608,514,455,374,207,226,1652,4721,6497,1776
ArlingtonCounty,237521,119009,7335,6224,5557,4563,8076,14964,13804,11244,8766,8118,7134,6542,5220,4169,3142,1878,1100,1173,22019,85528,96990,11462,118512,6950,5799,5419,4464,8139,15056,13325,10941,8590,7871,6600,6010,5601,4616,3474,2302,1446,1909,20940,83825,97572,13747
AugustaCounty,75457,38274,1731,1934,2249,2273,2223,2487,2277,2358,2205,2618,2721,2995,2749,2395,2008,1509,844,698,7312,23508,30962,7454,37183,1724,1886,2134,1999,1863,2076,1966,2062,2030,2496,2717,2951,2856,2512,2168,1579,1089,1075,7050,21710,30133,8423
BathCounty,4292,2161,98,79,77,101,95,123,114,99,107,127,184,192,172,160,168,123,66,76,316,1252,1845,593,2131,91,103,88,86,109,113,98,96,101,145,156,175,176,168,176,118,61,71,334,1203,1797,594
BedfordCounty,78747,38794,1833,2237,2356,2351,2137,2151,1915,1931,2088,2635,2900,3219,3164,2672,2207,1472,851,675,7981,22936,30813,7877,39953,1772,2096,2274,2271,2021,2064,1910,2052,2130,2827,2990,3376,3258,2796,2339,1729,1044,1004,7642,23399,32311,8912
BlandCounty,6293,3445,110,135,147,150,188,249,250,240,274,296,272,220,213,228,188,153,78,54,497,2247,2948,701,2848,130,114,136,134,127,169,106,136,155,214,199,230,252,213,202,147,93,91,468,1634,2380,746
BotetourtCounty,33277,16494,717,817,988,1011,862,851,831,860,839,1186,1288,1380,1327,1253,989,634,393,268,3186,9771,13308,3537,16783,687,813,957,939,813,720,795,874,883,1169,1355,1412,1334,1277,1043,767,459,486,3093,9658,13690,4032
BrunswickCounty,16384,8773,325,337,421,440,722,857,708,587,568,522,553,571,585,541,423,288,197,128,1336,5860,7437,1577,7611,354,359,379,377,403,382,360,413,388,459,536,619,636,615,470,345,256,260,1338,4327,6273,1946
BuchananCounty,21221,10735,437,520,583,525,603,699,652,646,679,776,799,844,873,696,589,433,248,133,1876,6760,8859,2099,10486,404,506,525,526,457,522,524,583,579,723,792,863,872,794,689,494,378,255,1786,6090,8700,2610
BuckinghamCounty,16999,9364,360,427,473,457,576,757,729,676,703,701,697,668,610,535,435,280,163,117,1558,6276,7806,1530,7635,317,454,443,361,350,443,438,425,399,460,543,591,601,585,458,299,246,222,1442,4383,6193,1810
