county,district,areaSqMile, population,altCounty
Accomack,Eastern Shore,449.5,33165,Accomack County
Albemarle,Thomas Jefferson,720.7,101883,Albemarle County
Alexandria city,Alexandra,15.03,146422,Alexandriacity
Alleghany,Alleghany,445.46,16133,Alleghany County
Amelia,Piedmont,355.27,12764,Amelia County
Amherst,Central Virginia,473.93,32237,Amherst County
Appomattox,Central Virginia,333.49,15137,Appomattox County
Arlington,Arlington,25.97,220173,Arlington County
Augusta,Central Shenandoah,967,73707,Augusta County
Bath,Central Shenandoah,529.16,4644,Bath County
Bedford city,Central Virginia,8.74,6585,Bedfordcity
Bedford,Central Virginia,753.02,75607,Bedford County
Bland,Mount Rogers,357.72,6727,Bland County
Botetourt,Alleghany,541.2,33105,Botetourt County
Bristol city,Mount Rogers,13.01,17595,Bristolcity
Brunswick,Southside,566.17,16961,Brunswick County
Buchanan,Cumberland Plateau,502.76,23683,Buchanan County
Buckingham,Piedmont,579.66,17072,Buckingham County
Buena Vista city,Central Shenandoah,6.7,6683,BuenaVistacity
Campbell,Central Virginia,503.87,54833,Campbell County
Caroline,Rappahannock,527.51,29057,Caroline County
Carroll,Mount Rogers,474.69,29881,Carroll County
Charles City,Chickahominy,182.82,7154,CharlesCityCounty
Charlotte,Piedmont,475.27,12399,Charlotte County
Charlottesville city,Thomas Jefferson,10.24,44505,Charlottesvillecity
Chesapeake city,Chesapeake,340.8,228168,Chesapeakecity
Chesterfield,Chesterfield,423.3,324337,Chesterfield County
Clarke,Lord Fairfax,176.18,14273,Clarke County
Clifton Forge city,Alleghany,3.08,3508,CliftonForgecity
Colonial Heights city,Chesterfield,7.52,17542,ColonialHeightscity
Covington city,Alleghany,5.47,5853,Covingtoncity
Craig,Alleghany,329.53,5206,Craig County
Culpeper,Rappahannock Rapidan,379.23,47910,Culpeper County
Cumberland,Piedmont,297.46,9916,Cumberland County
Danville city,Pittsylvania-Danville,42.93,42704,Danvillecity
Dickenson,Cumberland Plateau,330.53,15612,Dickenson County
Dinwiddie,Crater,503.72,27993,Dinwiddie County
Emporia city,Crater,6.97,5121,Emporiacity
Essex,Three Rivers,257.12,11166,Essex County
Fairfax,Fairfax,390.97,1117072,Fairfax County
Fairfax city,Fairfax,6.24,23507,Fairfaxcity
Falls Church city,Fairfax,2,13074,FallsChurchcity
