Date,VA_New_Confirmed_Cases,VA_Cumulative_Confirmed_Cases,TJ_Confirmed_Cases,TJ_Cumulative_Cases,num_hospitalizations,daily_pos_pct_of_tests,cum_pos_pct_of_tests,pct_hosp,cum_num_tests,daily_num_tests,test_ratio
3/1/2020,0,0,0,0,,,0.065,,,,
3/2/2020,0,0,0,0,,,0.065,,,,
3/3/2020,0,0,0,0,,,0.065,,,,
3/4/2020,0,0,0,0,,,0.065,,,,
3/5/2020,0,0,0,0,,,0.065,,,,
3/6/2020,0,0,0,0,,,0.065,,,,
3/7/2020,1,1,0,0,,,0.065,,,,
3/8/2020,1,2,0,0,,,0.065,,,,
3/9/2020,3,5,0,0,,,0.065,,,,
3/10/2020,4,9,0,0,,,0.065,,,,
3/11/2020,0,9,0,0,,,0.065,,,,
3/12/2020,8,17,0,0,,,0.065,,,,
3/13/2020,13,30,0,0,,,0.081,,370,,
3/14/2020,11,41,0,0,,,0.091,,452,82,
3/15/2020,4,45,0,0,,,0.087,,519,67,0.81
3/16/2020,6,51,0,0,,,0.085,,602,84,1.02
3/17/2020,16,67,1,1,,,0.094,,717,114,1.39
3/18/2020,10,77,0,1,,,0.087,,883,166,2.02
3/19/2020,17,94,0,1,,,0.082,,1145,262,3.19
3/20/2020,20,114,0,1,,,0.071,,1614,469,5.71
3/21/2020,38,152,1,2,,,0.057,,2655,1042,12.68
3/22/2020,67,219,6,8,,,0.069,,3176,521,6.34
3/23/2020,35,254,1,9,38,0.067,0.069,0.150,3697,521,6.34
3/24/2020,36,290,1,10,45,0.047,0.065,0.155,4470,773,9.41
3/25/2020,101,391,5,15,59,0.112,0.073,0.151,5370,900,10.95
3/26/2020,69,460,12,27,65,0.084,0.074,0.141,6189,819,9.97
3/27/2020,144,604,2,29,83,0.125,0.082,0.137,7337,1148,13.97
3/28/2020,135,739,11,40,99,0.074,0.081,0.134,9166,1829,22.26
3/29/2020,151,890,2,42,112,0.105,0.084,0.126,10609,1443,17.56
3/30/2020,130,1020,4,46,136,0.091,0.085,0.133,12038,1429,17.39
3/31/2020,230,1250,4,50,165,0.169,0.093,0.132,13401,1363,16.59
4/1/2020,234,1484,4,54,208,0.120,0.097,0.140,15344,1943,23.65
4/2/2020,222,1706,5,59,246,0.099,0.097,0.144,17589,2245,27.33
4/3/2020,306,2012,4,63,312,0.216,0.106,0.155,19005,1416,17.24
4/4/2020,395,2407,7,70,390,0.155,0.112,0.162,21552,2547,31.00
4/5/2020,230,2637,11,81,431,0.109,0.111,0.163,23671,2119,25.79
4/6/2020,241,2878,4,85,497,0.284,0.117,0.173,24521,850,10.35
4/7/2020,455,3333,5,90,563,0.110,0.116,0.169,28645,4124,50.20
4/8/2020,312,3645,9,99,615,0.156,0.119,0.169,30645,2000,24.34
4/9/2020,397,4042,11,110,685,0.167,0.122,0.169,33026,2381,28.98
4/10/2020,467,4509,4,114,772,0.192,0.127,0.171,35459,2433,29.61
4/11/2020,568,5077,15,129,837,0.224,0.134,0.165,37999,2540,30.92
4/12/2020,197,5274,3,132,872,0.099,0.132,0.165,39985,1986,24.17
4/13/2020,473,5747,10,142,903,0.334,0.139,0.157,41401,1416,17.24
4/14/2020,424,6171,21,163,978,0.311,0.144,0.158,42763,1362,16.58
4/15/2020,,,,,,,,,,,
4/16/2020,,,,,,,,,,,
4/17/2020,,,,,,,,,,,
4/18/2020,,,,,,,,,,,
4/19/2020,,,,,,,,,,,
4/20/2020,,,,,,,,,,,
4/21/2020,,,,,,,,,,,
