Locality,casesAll,casesUVA,casesVCU,shareUVA,shareVCU
AccomackCounty,2923,11,62,0.376325693,2.12110845
AlbemarleCounty,8090,4192,58,51.8170581,0.716934487
Alexandriacity,11012,17,24,0.154377043,0.217944061
AlleghanyCounty,1134,37,2,3.262786596,0.176366843
AmeliaCounty,1817,8,135,0.440286186,7.429829389
AmherstCounty,4290,430,33,10.02331002,0.769230769
AppomattoxCounty,2083,108,32,5.184829573,1.536245799
ArlingtonCounty,11835,18,37,0.152091255,0.312632024
AugustaCounty,5596,1045,52,18.67405289,0.929235168
BathCounty,741,52,4,7.01754386,0.539811066
BedfordCounty,8455,430,49,5.085748078,0.579538734
BlandCounty,626,19,2,3.03514377,0.319488818
BotetourtCounty,3421,78,5,2.280035077,0.146156095
Bristolcity,279,29,1,10.39426523,0.358422939
BrunswickCounty,2033,3,511,0.147565175,25.13526808
BuchananCounty,2112,44,1,2.083333333,0.047348485
BuckinghamCounty,1708,565,90,33.07962529,5.269320843
BuenaVistacity,1060,85,2,8.018867925,0.188679245
CampbellCounty,5112,358,29,7.00312989,0.567292645
CarolineCounty,3916,31,338,0.791624106,8.631256384
CarrollCounty,1595,21,4,1.31661442,0.250783699
CharlesCityCounty,715,1,152,0.13986014,21.25874126
CharlotteCounty,2088,52,160,2.490421456,7.662835249
Charlottesvillecity,5072,3309,42,65.24053628,0.82807571
Chesapeakecity,25289,41,188,0.162125825,0.743406224
ChesterfieldCounty,37013,150,5101,0.405263016,13.78164429
ClarkeCounty,1625,42,7,2.584615385,0.430769231
ColonialHeightscity,3682,14,498,0.380228137,13.52525801
Covingtoncity,1962,99,8,5.04587156,0.407747197
CraigCounty,586,11,2,1.877133106,0.341296928
CulpeperCounty,5623,1021,74,18.15756713,1.316023475
CumberlandCounty,880,50,59,5.681818182,6.704545455
Danvillecity,7292,184,59,2.52331322,0.809105869
DickensonCounty,1023,27,1,2.639296188,0.097751711
DinwiddieCounty,2168,4,352,0.184501845,16.23616236
Emporiacity,1894,5,352,0.263991552,18.58500528
EssexCounty,1475,1,245,0.06779661,16.61016949
Fairfaxcity,3479,3,1,0.086231676,0.028743892
FairfaxCounty,71875,144,98,0.200347826,0.136347826
FallsChurchcity,1007,1,0,0.099304866,0
FauquierCounty,6708,279,40,4.15921288,0.596302922
FloydCounty,1501,35,1,2.331778814,0.066622252
FluvannaCounty,2635,1133,61,42.99810247,2.314990512
Franklincity,2090,1,79,0.04784689,3.779904306
FranklinCounty,6105,96,13,1.572481572,0.212940213
FrederickCounty,8202,243,25,2.962692026,0.304803706
Fredericksburgcity,3560,37,165,1.039325843,4.634831461
Galaxcity,2025,15,3,0.740740741,0.148148148
GilesCounty,2262,56,2,2.475685234,0.08841733
GloucesterCounty,4244,31,277,0.730442978,6.526861451
GoochlandCounty,2287,59,376,2.579798863,16.44075208
GraysonCounty,1022,12,2,1.174168297,0.195694716
GreeneCounty,1942,815,17,41.96704428,0.8753862
GreensvilleCounty,549,0,186,0,33.87978142
HalifaxCounty,3885,38,258,0.978120978,6.640926641
Hamptoncity,14268,41,242,0.287356322,1.696103168
HanoverCounty,10816,66,1366,0.610207101,12.62943787
Harrisonburgcity,6490,676,43,10.41602465,0.662557781
HenricoCounty,34732,167,5802,0.4808246,16.70505586
HenryCounty,4534,30,12,0.661667402,0.264666961
HighlandCounty,260,52,1,20,0.384615385
Hopewellcity,4725,6,584,0.126984127,12.35978836
IsleofWightCounty,4153,12,76,0.288947749,1.830002408
JamesCityCounty,10183,55,766,0.540115879,7.522341157
KingandQueenCounty,851,2,94,0.235017626,11.04582844
KingGeorgeCounty,2671,15,153,0.56158742,5.728191689
KingWilliamCounty,1950,6,248,0.307692308,12.71794872
LancasterCounty,1592,12,196,0.753768844,12.31155779
LeeCounty,980,27,2,2.755102041,0.204081633
