Locality,casesAll,casesUVA,casesVCU,shareUVA,shareVCU
AccomackCounty,182,2,4,1.098901099,2.197802198
AlbemarleCounty,363,177,2,48.76033058,0.550964187
Alexandriacity,416,0,0,0,0
AlleghanyCounty,73,0,0,0,0
AmeliaCounty,92,0,3,0,3.260869565
AmherstCounty,265,16,2,6.037735849,0.754716981
AppomattoxCounty,88,2,1,2.272727273,1.136363636
ArlingtonCounty,354,0,0,0,0
AugustaCounty,350,25,0,7.142857143,0
BathCounty,73,4,0,5.479452055,0
BedfordCounty,376,13,0,3.457446809,0
BlandCounty,47,0,0,0,0
BotetourtCounty,182,3,0,1.648351648,0
Bristolcity,9,2,0,22.22222222,0
BrunswickCounty,141,0,24,0,17.0212766
BuchananCounty,362,1,0,0.276243094,0
BuckinghamCounty,82,22,4,26.82926829,4.87804878
BuenaVistacity,60,0,1,0,1.666666667
CampbellCounty,229,10,0,4.366812227,0
CarolineCounty,209,2,14,0.956937799,6.698564593
CarrollCounty,154,0,0,0,0
CharlesCityCounty,34,0,9,0,26.47058824
CharlotteCounty,116,1,15,0.862068966,12.93103448
Charlottesvillecity,188,131,0,69.68085106,0
Chesapeakecity,1263,4,7,0.316706255,0.554235946
ChesterfieldCounty,1230,8,197,0.650406504,16.01626016
ClarkeCounty,123,1,0,0.81300813,0
ColonialHeightscity,208,0,30,0,14.42307692
Covingtoncity,96,4,0,4.166666667,0
CraigCounty,25,0,0,0,0
CulpeperCounty,349,29,3,8.309455587,0.859598854
CumberlandCounty,30,2,2,6.666666667,6.666666667
Danvillecity,456,5,2,1.096491228,0.438596491
DickensonCounty,152,2,0,1.315789474,0
DinwiddieCounty,122,0,22,0,18.03278689
Emporiacity,89,0,14,0,15.73033708
EssexCounty,62,0,12,0,19.35483871
Fairfaxcity,125,0,0,0,0
FairfaxCounty,2235,3,2,0.134228188,0.089485459
FallsChurchcity,46,0,0,0,0
FauquierCounty,372,10,0,2.688172043,0
FloydCounty,63,2,0,3.174603175,0
FluvannaCounty,122,43,0,35.24590164,0
Franklincity,130,0,4,0,3.076923077
FranklinCounty,362,4,0,1.104972376,0
FrederickCounty,561,7,1,1.247771836,0.178253119
Fredericksburgcity,227,3,9,1.321585903,3.964757709
Galaxcity,194,3,0,1.546391753,0
GilesCounty,196,7,0,3.571428571,0
GloucesterCounty,192,0,6,0,3.125
GoochlandCounty,106,1,13,0.943396226,12.26415094
GraysonCounty,106,1,0,0.943396226,0
GreeneCounty,89,32,0,35.95505618,0
GreensvilleCounty,28,0,6,0,21.42857143
HalifaxCounty,269,1,6,0.371747212,2.230483271
Hamptoncity,660,3,3,0.454545455,0.454545455
HanoverCounty,444,2,70,0.45045045,15.76576577
Harrisonburgcity,340,14,1,4.117647059,0.294117647
HenricoCounty,1388,11,291,0.792507205,20.96541787
HenryCounty,402,0,0,0,0
HighlandCounty,15,1,0,6.666666667,0
Hopewellcity,254,0,26,0,10.23622047
IsleofWightCounty,166,0,0,0,0
JamesCityCounty,588,2,18,0.340136054,3.06122449
KingandQueenCounty,49,0,3,0,6.12244898
KingGeorgeCounty,205,1,6,0.487804878,2.926829268
KingWilliamCounty,88,0,9,0,10.22727273
LancasterCounty,64,0,4,0,6.25
LeeCounty,80,2,0,2.5,0
Lexingtoncity,110,8,1,7.272727273,0.909090909
LoudounCounty,872,2,1,0.229357798,0.114678899
LouisaCounty,209,46,8,22.00956938,3.827751196
LunenburgCounty,54,0,9,0,16.66666667
Lynchburgcity,579,28,3,4.835924007,0.518134715
MadisonCounty,81,21,1,25.92592593,1.234567901
Manassascity,151,4,0,2.649006623,0
ManassasParkcity,0,0,0,0,0
Martinsvillecity,385,1,0,0.25974026,0
MathewsCounty,55,0,3,0,5.454545455
MecklenburgCounty,267,4,25,1.498127341,9.36329588
MiddlesexCounty,69,0,9,0,13.04347826
MontgomeryCounty,327,5,0,1.529051988,0
NelsonCounty,118,45,0,38.13559322,0
NewKentCounty,108,1,20,0.925925926,18.51851852
NewportNewscity,919,5,15,0.544069641,1.632208923
Norfolkcity,1283,2,4,0.155884645,0.311769291
NorthamptonCounty,79,0,1,0,1.265822785
NorthumberlandCounty,80,0,17,0,21.25
Nortoncity,56,2,0,3.571428571,0
NottowayCounty,126,0,8,0,6.349206349
OrangeCounty,329,61,3,18.54103343,0.911854103
PageCounty,237,10,1,4.219409283,0.421940928
PatrickCounty,104,0,0,0,0
Petersburgcity,453,0,49,0,10.81677704
PittsylvaniaCounty,309,5,0,1.618122977,0
Poquosoncity,54,0,0,0,0
Portsmouthcity,552,1,0,0.18115942,0
PowhatanCounty,92,0,7,0,7.608695652
PrinceEdwardCounty,147,12,10,8.163265306,6.802721088
PrinceGeorgeCounty,103,0,6,0,5.825242718
PrinceWilliamCounty,1410,6,1,0.425531915,0.070921986
PulaskiCounty,254,4,0,1.57480315,0
Radfordcity,111,0,0,0,0
RappahannockCounty,34,1,0,2.941176471,0
Richmondcity,1321,0,587,0,44.43603331
